param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
mu_,address,0.04282392787218738,1.0437541026649775,0.008847383190768398,0.025483375460856255,0.06016448028351851,1.0258108524960179,1.0620112120857108,0.0,4.840293106878319,1.296477674800991e-06,19.556971205964597
mu_,age,0.03682567520229218,1.0375121409785972,0.0063995737184772165,0.02428274119766776,0.049368609206916596,1.0245799679079282,1.0506075429875317,0.0,5.754395030401318,8.695261392831444e-09,26.777123456187194
mu_,custcat_E-service,1.0258247345113207,2.7893950225122293,0.1690466140666428,0.6944994592322588,1.3571500097903826,2.002706386826798,3.8851049973152696,0.0,6.068295068642502,1.2927523399218817e-09,29.52690693783977
mu_,custcat_Plus service,0.8225527815489974,2.2763033319998254,0.16942525761593025,0.49048537855035357,1.1546201845476411,1.6331087035476495,3.172818103300448,0.0,4.85495960356537,1.2041128734736638e-06,19.663597932734813
mu_,custcat_Total service,1.0132687608807815,2.7545904122999723,0.20957904533885893,0.6025013801023309,1.4240361416592322,1.8266823172675892,4.153852187546744,0.0,4.834780878224122,1.3329237765578854e-06,19.51697428726647
mu_,internet_Yes,-0.8405283081235707,0.4314825074891613,0.13825922329896703,-1.111511406320027,-0.5695452099271142,0.32906123980288415,0.5657826925488364,0.0,-6.079365181345197,1.2065928186111586e-09,29.626413953103683
mu_,marital_Unmarried,-0.4473173831768448,0.6393409600053478,0.11447210683674426,-0.6716785898112848,-0.22295617654240474,0.510850349489677,0.8001499138620433,0.0,-3.907653973861001,9.31966490287764e-05,13.389362392051662
mu_,voice_Yes,-0.4634934316822515,0.6290821468507374,0.16677099738413037,-0.7903585802209706,-0.13662828314353237,0.4536820846895207,0.8722944124125203,0.0,-2.7792208414672266,0.005448946609291855,7.519806929715207
mu_,Intercept,2.5348874126484366,12.615010477460919,0.2426107420111423,2.059379096044059,3.010395729252814,7.841099728707958,20.295429831584517,0.0,10.448372531386173,1.4906111143499104e-25,82.47229845029565
sigma_,Intercept,0.2830336402272209,1.3271498066872742,0.04601979784939637,0.1928364938665902,0.3732307865878516,1.2126844959551475,1.4524195000965971,0.0,6.1502582248073345,7.735689726853587e-10,30.267751018395295
